accession	parent_molregno	integrated_plasma_activity	predicted
P13945	1994	1	0
P14416	1994	0	0
P16473	1994	1	0
P21917	1994	0	0
P28482	1994	1	0
P35462	1994	0	0
P42345	1994	0	0
P54132	1994	1	0
Q01453	1994	0	0
Q99714	1994	1	0
Q9HBX9	1994	0	0
Q9NUW8	1994	0	0
P00915	2045	1	0
P00918	2045	1	0
P02545	2045	1	0
P10828	2045	1	0
P27695	2045	0	0
Q01453	2045	0	0
Q16637	2045	0	0
O43570	2046	1	0
P00352	2046	0	0
P00915	2046	1	0
P00918	2046	1	0
P22748	2046	1	0
P23280	2046	1	0
P28845	2046	0	0
P35218	2046	1	0
P43166	2046	1	0
Q14973	2046	0	0
Q16790	2046	1	0
Q9HC97	2046	0	0
Q9NZ45	2046	0	0
Q9ULX7	2046	1	0
Q9Y2D0	2046	1	0
O15245	2080	0	0
P00352	2080	0	0
P00374	2080	1	0
P02545	2080	0	0
P04637	2080	0	0
P06865	2080	0	0
P07686	2080	0	0
Q16637	2080	0	0
Q9NUW8	2080	0	0
P02545	2131	1	0
P14618	2131	0	0
P15428	2131	0	0
P16050	2131	0	0
P16473	2131	0	0
P18054	2131	0	0
Q99714	2131	0	0
P02545	2166	1	0
P06239	2203	0	0
P06241	2203	0	0
P07550	2203	0	0
P08183	2203	0	0
P08588	2203	0	0
P08684	2203	1	0
P08913	2203	1	0
P14416	2203	1	0
P18089	2203	1	0
P18825	2203	1	0
P21728	2203	0	0
P24557	2203	0	0
P25100	2203	1	0
P28221	2203	1	0
P28222	2203	1	0
P28223	2203	1	0
P28335	2203	1	0
P35462	2203	1	0
P41595	2203	1	0
P47898	2203	1	0
P50406	2203	1	0
B2RXH2	2208	0	0
O75496	2208	0	0
P00352	2208	0	0
P0DMS8	2208	0	0
P10276	2208	1	0
P10636	2208	0	0
P10826	2208	1	0
P13631	2208	1	0
P19793	2208	1	0
P28482	2208	1	0
P28702	2208	1	0
P35398	2208	1	0
P41595	2208	1	0
P46063	2208	0	0
P48443	2208	1	0
P51449	2208	0	0
P54132	2208	1	0
Q16637	2208	1	0
Q16665	2208	1	0
Q92753	2208	1	0
P08908	2214	1	0
P0DMS8	2214	1	0
P10636	2214	0	0
P16473	2214	0	0
P21728	2214	0	0
P28221	2214	1	0
P28222	2214	1	0
P28223	2214	1	0
P28335	2214	1	0
P28566	2214	1	0
